"id","c_fraccionarancelaria","descripcion"
"catalogos_fraccionarancelaria253","0304320100","Bagres o peces gato (Pangasius spp Silurus spp Clarias spp Ictalurus spp)"
"catalogos_fraccionarancelaria254","0304330100","Percas del Nilo (Lates niloticus)"
"catalogos_fraccionarancelaria255","0304399900","Los demás"
"catalogos_fraccionarancelaria256","0304410100","Salmones del Pacífico (Oncorhynchus nerka Oncorhynchus gorbuscha Oncorhynchus keta Oncorhynchus tschawytscha Oncorhynchus kisutch Oncorhynchus masou y Oncorhynchus rhodurus) salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
"catalogos_fraccionarancelaria257","0304420100","Truchas (Salmo trutta Oncorhynchus mykiss Oncorhynchus clarki Oncorhynchus aguabonita Oncorhynchus gilae Oncorhynchus apache y Oncorhynchus chrysogaster)"
"catalogos_fraccionarancelaria258","0304430100","Pescados planos (Pleuronectidae Bothidae Cynoglossidae Soleidae Scophthalmidae y Citharidae)"
"catalogos_fraccionarancelaria259","0304440101","De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus)"
"catalogos_fraccionarancelaria260","0304440199","Los demás"
"catalogos_fraccionarancelaria261","0304450100","Peces espada (Xiphias gladius)"
"catalogos_fraccionarancelaria262","0304460100","Austromerluzas antárticas y austromerluzas negras (merluzas negras bacalaos de profundidad nototenias negras) (Dissostichus spp)"
"catalogos_fraccionarancelaria263","0304470100","Cazones y demás escualos"
"catalogos_fraccionarancelaria264","0304480100","Rayas (Rajidae)"
"catalogos_fraccionarancelaria265","0304499901","De atún de aleta azul del Atlántico (Thunnus thynnus) atún de aleta azul del Pacífico (Thunnus orientalis) atún de aleta azul del Sur (Thunnus maccoyii) atún de aleta amarilla (rabiles) (Thunnus albacares) patudos o atunes ojos grandes (Thunnus obesus) o bonito de vientre rayado (Euthynnus (Katsuwonus) pelamis)"
"catalogos_fraccionarancelaria266","0304499902","De sardina (Sardina pilchardus Sardinops spp) sardinela (Sardinella spp) o espadín (Sprattus sprattus)"
"catalogos_fraccionarancelaria267","0304499903","De anchoas (Engraulis spp)"
"catalogos_fraccionarancelaria268","0304499999","Los demás"
"catalogos_fraccionarancelaria269","0304510100","Tilapias (Oreochromis spp) bagres o peces gato (Pangasius spp Silurus spp Clarias spp Ictalurus spp) carpas (Cyprinus spp Carassius spp Ctenopharyngodon idellus Hypophthalmichthys spp Cirrhinus spp Mylopharyngodon piceus Catla catla Labeo spp Osteochilus hasselti Leptobarbus hoeveni Megalobrama spp) anguilas (Anguilla spp) percas del Nilo (Lates niloticus) y peces cabeza de serpiente (Channa spp)"
"catalogos_fraccionarancelaria270","0304520101","De salmones del Pacífico (Oncorhynchus nerka Oncorhynchus gorbuscha Oncorhynchus keta Oncorhynchus tschawytscha Oncorhynchus kisutch Oncorhynchus masou y Oncorhynchus rhodurus) salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
"catalogos_fraccionarancelaria271","0304520199","Los demás"
"catalogos_fraccionarancelaria272","0304530101","De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus)"
"catalogos_fraccionarancelaria273","0304530199","Los demás"
"catalogos_fraccionarancelaria274","0304540100","Peces espada (Xiphias gladius)"
"catalogos_fraccionarancelaria275","0304550100","Austromerluzas antárticas y austromerluzas negras (merluzas negras bacalaos de profundidad nototenias negras) (Dissostichus spp)"
"catalogos_fraccionarancelaria276","0304560100","Cazones y demás escualos"
"catalogos_fraccionarancelaria277","0304570100","Rayas (Rajidae)"
"catalogos_fraccionarancelaria278","0304599901","De atún de aleta azul del Atlántico (Thunnus thynnus) atún de aleta azul del Pacífico (Thunnus orientalis) atún de aleta azul del Sur (Thunnus maccoyii) atún de aleta amarilla (rabiles) (Thunnus albacares) patudos o atunes ojos grandes (Thunnus obesus) o bonito de vientre rayado (Euthynnus (Katsuwonus) pelamis)"
"catalogos_fraccionarancelaria279","0304599902","De sardina (Sardina pilchardus Sardinops spp) sardinela (Sardinella spp) o espadín (Sprattus sprattus)"
"catalogos_fraccionarancelaria280","0304599903","De anchoas (Engraulis spp)"
"catalogos_fraccionarancelaria281","0304599999","Los demás"
"catalogos_fraccionarancelaria282","0304610100","Tilapias (Oreochromis spp)"
"catalogos_fraccionarancelaria283","0304620100","Bagres o peces gato (Pangasius spp Silurus spp Clarias spp Ictalurus spp)"
"catalogos_fraccionarancelaria284","0304630100","Percas del Nilo (Lates niloticus)"
"catalogos_fraccionarancelaria285","0304699900","Los demás"
"catalogos_fraccionarancelaria286","0304710100","Bacalaos (Gadus morhua Gadus ogac Gadus macrocephalus)"
"catalogos_fraccionarancelaria287","0304720100","Eglefinos (Melanogrammus aeglefinus)"
"catalogos_fraccionarancelaria288","0304730100","Carboneros (Pollachius virens)"
"catalogos_fraccionarancelaria289","0304740101","De merluza panameña (Merluccius angustimanus) o merluza del Pacífico Norte (Merluccius productus)"
"catalogos_fraccionarancelaria290","0304740199","Los demás"
"catalogos_fraccionarancelaria291","0304750100","Abadejos de Alaska (Theragra chalcogramma)"
"catalogos_fraccionarancelaria292","0304799900","Los demás"
"catalogos_fraccionarancelaria293","0304810100","Salmones del Pacífico (Oncorhynchus nerka Oncorhynchus gorbuscha Oncorhynchus keta Oncorhynchus tschawytscha Oncorhynchus kisutch Oncorhynchus masou y Oncorhynchus rhodurus) salmones del Atlántico (Salmo salar) y salmones del Danubio (Hucho hucho)"
"catalogos_fraccionarancelaria294","0304820100","Truchas (Salmo trutta Oncorhynchus mykiss Oncorhynchus clarki Oncorhynchus aguabonita Oncorhynchus gilae Oncorhynchus apache y Oncorhynchus chrysogaster)"
"catalogos_fraccionarancelaria295","0304830100","Pescados planos (Pleuronectidae Bothidae Cynoglossidae Soleidae Scophthalmidae y Citharidae)"
"catalogos_fraccionarancelaria296","0304840100","Peces espada (Xiphias gladius)"
"catalogos_fraccionarancelaria297","0304850100","Austromerluzas antárticas y austromerluzas negras (merluzas negras bacalaos de profundidad nototenias negras) (Dissostichus spp)"
"catalogos_fraccionarancelaria298","0304860100","Arenques (Clupea harengus Clupea pallasii)"
"catalogos_fraccionarancelaria299","0304870100","Atunes (del género Thunnus) listados (bonitos de vientre rayado) (Katsuwonus pelamis)"
"catalogos_fraccionarancelaria300","0304880100","Cazones demás escualos y rayas (Rajidae)"
